month,claim_type,payer_category,claim_count,allowed_amount,paid_amount,avg_paid_amount
2024-01,Ambulatory Surgery,Commercial,10,144574.56,113997.48,11399.75
2024-01,Ambulatory Surgery,Medicare,5,74012.28,55133.14,11026.63
2024-01,Emergency Department,Commercial,21,162767.96,127107.67,6052.75
2024-01,Emergency Department,Medicaid,18,120173.84,93783.91,5210.22
2024-01,Emergency Department,Medicare,19,120090.95,90266.01,4750.84
2024-01,Emergency Department,Other,2,13236.47,10676.96,5338.48
2024-01,Emergency Department,Self Pay,2,13090.65,11314.13,5657.06
2024-01,Inpatient,Commercial,46,1440201.08,1125901.7,24476.12
2024-01,Inpatient,Medicaid,27,900694.63,711982.76,26369.73
2024-01,Inpatient,Medicare,33,1113873.08,878857.68,26632.05
2024-01,Inpatient,Other,13,381352.34,297411.83,22877.83
2024-01,Inpatient,Self Pay,4,125119.51,99294.65,24823.66
2024-01,Outpatient,Commercial,23,83327.47,66527.48,2892.5
2024-01,Outpatient,Medicaid,9,32968.04,24143.35,2682.59
2024-01,Outpatient,Medicare,13,51990.15,40460.59,3112.35
2024-01,Outpatient,Other,5,22494.31,16442.19,3288.44
2024-01,Outpatient,Self Pay,4,12245.69,10096.65,2524.16
2024-02,Ambulatory Surgery,Commercial,9,145315.91,111370.58,12374.51
2024-02,Ambulatory Surgery,Medicaid,3,53513.25,47399.08,15799.69
2024-02,Ambulatory Surgery,Medicare,5,59605.54,45455.22,9091.04
2024-02,Ambulatory Surgery,Other,1,18383.72,17033.24,17033.24
2024-02,Ambulatory Surgery,Self Pay,1,17859.34,14954.75,14954.75
2024-02,Emergency Department,Commercial,22,148079.13,116110.53,5277.75
2024-02,Emergency Department,Medicaid,11,96535.92,73543.89,6685.81
2024-02,Emergency Department,Medicare,25,161500.81,127433.73,5097.35
2024-02,Emergency Department,Other,5,35453.07,24390.26,4878.05
2024-02,Emergency Department,Self Pay,4,27737.67,21468.6,5367.15
2024-02,Inpatient,Commercial,51,1684478.21,1291833.18,25330.06
2024-02,Inpatient,Medicaid,30,1019008.23,777549.67,25918.32
2024-02,Inpatient,Medicare,36,1154774.58,907390.36,25205.29
2024-02,Inpatient,Other,13,466761.94,366799.44,28215.34
2024-02,Inpatient,Self Pay,8,202737.65,158199.66,19774.96
2024-02,Outpatient,Commercial,21,73944.24,57173.23,2722.53
2024-02,Outpatient,Medicaid,14,53387.97,38990.47,2785.03
2024-02,Outpatient,Medicare,11,38968.92,32239.46,2930.86
2024-02,Outpatient,Other,5,20398.32,15900.26,3180.05
2024-02,Outpatient,Self Pay,6,22613.67,18780.13,3130.02
2024-03,Ambulatory Surgery,Commercial,6,113332.65,89999.04,14999.84
2024-03,Ambulatory Surgery,Medicaid,4,79463.6,62703.57,15675.89
2024-03,Ambulatory Surgery,Medicare,6,103374.52,74813.41,12468.9
2024-03,Ambulatory Surgery,Self Pay,1,18485.26,13649.64,13649.64
2024-03,Emergency Department,Commercial,30,221796.02,176205.45,5873.52
2024-03,Emergency Department,Medicaid,19,133344.29,108232.59,5696.45
2024-03,Emergency Department,Medicare,12,83353.41,64828.14,5402.34
2024-03,Emergency Department,Other,2,11076.13,7224.47,3612.23
2024-03,Emergency Department,Self Pay,1,10186.25,8835.86,8835.86
2024-03,Inpatient,Commercial,52,1602339.77,1239654.05,23839.5
2024-03,Inpatient,Medicaid,45,1386626.38,1070764.15,23794.76
2024-03,Inpatient,Medicare,47,1338989.83,1016117.53,21619.52
2024-03,Inpatient,Other,15,424994.0,313100.39,20873.36
2024-03,Inpatient,Self Pay,11,385285.83,307433.35,27948.49
2024-03,Outpatient,Commercial,27,102343.88,77914.09,2885.71
2024-03,Outpatient,Medicaid,8,21204.18,16625.14,2078.14
2024-03,Outpatient,Medicare,17,55232.59,40844.02,2402.59
2024-03,Outpatient,Other,2,11895.58,7812.53,3906.27
2024-03,Outpatient,Self Pay,3,9836.42,6908.08,2302.69
2024-04,Ambulatory Surgery,Commercial,7,125504.06,97843.44,13977.63
2024-04,Ambulatory Surgery,Medicaid,8,117370.93,93853.24,11731.66
2024-04,Ambulatory Surgery,Medicare,4,78198.35,64446.85,16111.71
2024-04,Ambulatory Surgery,Other,2,38380.04,24906.3,12453.15
2024-04,Ambulatory Surgery,Self Pay,2,29932.95,22488.43,11244.22
2024-04,Emergency Department,Commercial,40,264038.55,205604.56,5140.11
2024-04,Emergency Department,Medicaid,22,141475.2,105200.77,4781.85
2024-04,Emergency Department,Medicare,21,165738.89,131861.0,6279.1
2024-04,Emergency Department,Other,4,23448.59,17932.36,4483.09
2024-04,Emergency Department,Self Pay,3,18568.81,14520.03,4840.01
2024-04,Inpatient,Commercial,58,1848174.88,1427382.65,24610.05
2024-04,Inpatient,Medicaid,26,814921.92,641204.64,24661.72
2024-04,Inpatient,Medicare,42,1348507.47,1068414.0,25438.43
2024-04,Inpatient,Other,11,337742.8,262451.52,23859.23
2024-04,Inpatient,Self Pay,4,113288.11,81796.06,20449.02
2024-04,Outpatient,Commercial,19,76150.94,60160.24,3166.33
2024-04,Outpatient,Medicaid,21,81096.09,62268.82,2965.18
2024-04,Outpatient,Medicare,16,67155.42,50966.07,3185.38
2024-04,Outpatient,Other,5,24265.17,18467.83,3693.57
2024-04,Outpatient,Self Pay,8,29622.23,22007.27,2750.91
2024-05,Ambulatory Surgery,Commercial,4,42737.61,34970.78,8742.7
2024-05,Ambulatory Surgery,Medicaid,4,83309.97,69193.9,17298.47
2024-05,Ambulatory Surgery,Medicare,6,66693.51,52857.39,8809.56
2024-05,Ambulatory Surgery,Other,1,17000.51,11912.15,11912.15
2024-05,Ambulatory Surgery,Self Pay,1,13973.98,9900.44,9900.44
2024-05,Emergency Department,Commercial,25,166960.04,127088.1,5083.52
2024-05,Emergency Department,Medicaid,14,111690.63,91658.36,6547.03
2024-05,Emergency Department,Medicare,19,132960.49,101112.7,5321.72
2024-05,Emergency Department,Other,3,26512.91,23245.16,7748.39
2024-05,Emergency Department,Self Pay,5,36377.57,27371.16,5474.23
2024-05,Inpatient,Commercial,52,1486688.97,1161917.92,22344.58
