month,region,trauma_cases,avg_ed_minutes,avg_response_minutes,avg_total_pre_hospital_minutes,ems_recorded_rate
2024-01,Capital,41,237.5,10.0,54.4,82.93
2024-01,Central,13,261.5,9.3,47.7,76.92
2024-01,Hudson,38,241.1,8.6,52.4,78.95
2024-01,Long Island,32,256.7,9.9,50.2,75.0
2024-01,Metro,46,247.9,10.0,50.9,78.26
2024-01,Northern,9,234.7,9.9,49.5,66.67
2024-01,Western,23,243.3,9.8,50.8,86.96
2024-02,Capital,39,237.6,9.6,50.5,74.36
2024-02,Central,15,218.4,9.4,54.2,66.67
2024-02,Hudson,42,265.6,11.5,55.4,95.24
2024-02,Long Island,27,220.2,11.1,57.9,85.19
2024-02,Metro,72,245.3,10.1,52.6,77.78
2024-02,Northern,7,265.9,10.2,50.9,71.43
2024-02,Western,24,245.4,10.9,51.7,83.33
2024-03,Capital,44,249.3,10.3,50.7,88.64
2024-03,Central,16,259.2,10.5,55.0,75.0
2024-03,Hudson,40,238.8,10.0,52.5,85.0
2024-03,Long Island,27,248.3,9.4,48.5,85.19
2024-03,Metro,72,249.4,11.1,54.7,84.72
2024-03,Northern,12,218.5,7.3,49.8,83.33
2024-03,Western,34,252.3,10.7,50.6,88.24
2024-04,Capital,51,250.9,9.2,53.3,86.27
2024-04,Central,9,241.6,9.6,55.9,100.0
2024-04,Hudson,42,245.2,10.8,52.8,76.19
2024-04,Long Island,30,235.6,9.5,48.1,80.0
2024-04,Metro,76,243.0,10.2,51.3,72.37
2024-04,Northern,13,262.2,9.6,53.7,92.31
2024-04,Western,41,252.0,9.3,50.6,80.49
2024-05,Capital,36,231.6,9.9,52.9,72.22
2024-05,Central,15,258.5,10.3,54.1,73.33
2024-05,Hudson,37,245.8,10.5,51.6,70.27
2024-05,Long Island,20,254.4,8.6,52.3,85.0
2024-05,Metro,63,262.6,10.6,54.3,77.78
2024-05,Northern,14,251.1,9.5,51.0,92.86
2024-05,Western,23,241.8,9.5,53.6,82.61
2024-06,Capital,40,230.0,10.6,48.8,70.0
2024-06,Central,16,239.3,10.2,61.3,87.5
2024-06,Hudson,38,232.4,10.8,54.2,73.68
2024-06,Long Island,28,237.9,9.6,50.6,78.57
2024-06,Metro,65,249.6,9.9,53.5,76.92
2024-06,Northern,10,223.9,8.9,47.8,70.0
2024-06,Western,29,260.9,9.4,49.9,79.31
2024-07,Capital,39,246.8,9.7,52.8,69.23
2024-07,Central,9,245.4,9.9,49.4,88.89
2024-07,Hudson,40,257.4,10.2,53.4,75.0
2024-07,Long Island,28,240.0,10.9,54.9,85.71
2024-07,Metro,57,242.5,9.1,52.4,80.7
2024-07,Northern,10,281.1,9.3,48.9,90.0
2024-07,Western,23,243.3,9.6,51.3,82.61
2024-08,Capital,27,237.7,11.0,55.4,77.78
2024-08,Central,11,253.5,8.8,54.4,100.0
2024-08,Hudson,25,249.2,9.7,48.5,96.0
2024-08,Long Island,32,256.8,9.7,50.0,75.0
2024-08,Metro,56,244.7,10.1,53.6,85.71
2024-08,Northern,8,247.5,11.8,54.2,75.0
2024-08,Western,29,252.3,9.6,51.1,89.66
2024-09,Capital,26,235.3,9.8,51.6,80.77
2024-09,Central,14,240.2,9.4,51.1,85.71
2024-09,Hudson,25,245.0,9.7,50.6,80.0
2024-09,Long Island,22,261.9,9.9,57.4,81.82
2024-09,Metro,58,234.1,10.7,54.5,79.31
2024-09,Northern,12,256.3,10.5,52.3,91.67
2024-09,Western,27,214.7,9.5,53.1,81.48
2024-10,Capital,39,249.7,10.2,51.9,71.79
2024-10,Central,15,246.3,9.3,45.9,86.67
2024-10,Hudson,19,247.0,9.7,49.3,89.47
2024-10,Long Island,17,260.3,8.4,50.8,76.47
2024-10,Metro,42,246.8,9.5,57.2,73.81
2024-10,Northern,11,239.9,10.5,50.4,90.91
2024-10,Western,26,227.8,10.6,56.4,80.77
2024-11,Capital,28,218.9,9.6,53.0,89.29
2024-11,Central,4,265.2,10.3,60.2,100.0
2024-11,Hudson,22,267.7,9.3,54.2,68.18
2024-11,Long Island,32,258.2,10.4,56.2,78.12
2024-11,Metro,61,235.0,9.9,57.7,83.61
2024-11,Northern,4,233.0,9.6,44.6,50.0
2024-11,Western,26,248.0,10.5,53.5,96.15
2024-12,Capital,44,247.5,9.7,53.7,79.55
2024-12,Central,9,232.6,11.8,55.8,88.89
2024-12,Hudson,24,231.8,10.5,50.5,91.67
2024-12,Long Island,29,237.8,9.5,51.2,79.31
2024-12,Metro,62,233.3,10.3,49.1,75.81
2024-12,Northern,13,273.5,9.5,46.4,76.92
2024-12,Western,19,233.1,10.5,53.9,68.42
2025-01,Capital,46,231.3,10.7,52.4,86.96
2025-01,Central,11,253.0,10.0,50.8,54.55
2025-01,Hudson,26,234.3,10.6,53.5,69.23
2025-01,Long Island,24,258.2,9.5,47.2,66.67
2025-01,Metro,68,245.9,10.5,49.6,72.06
2025-01,Northern,10,243.3,9.2,53.3,70.0
2025-01,Western,31,246.1,9.6,49.9,83.87
2025-02,Capital,51,232.0,9.1,52.3,84.31
2025-02,Central,11,253.3,10.8,59.2,90.91
2025-02,Hudson,35,241.0,9.1,54.9,80.0
2025-02,Long Island,24,246.1,9.4,51.9,75.0
2025-02,Metro,55,241.7,9.2,52.5,63.64
2025-02,Northern,15,252.5,11.1,54.7,86.67
2025-02,Western,39,258.9,9.6,51.3,74.36
2025-03,Capital,40,249.2,10.6,49.5,80.0
2025-03,Central,18,229.1,9.6,57.3,77.78
2025-03,Hudson,39,253.9,9.6,47.0,87.18
2025-03,Long Island,32,240.7,10.0,50.3,78.12
2025-03,Metro,72,235.4,10.5,53.9,76.39
2025-03,Northern,11,257.2,10.6,45.6,63.64
2025-03,Western,34,232.1,9.2,47.7,79.41
2025-04,Capital,40,251.0,9.4,48.4,85.0
2025-04,Central,14,237.6,10.2,51.1,78.57
2025-04,Hudson,47,235.6,10.4,53.1,85.11
2025-04,Long Island,40,249.2,10.0,52.9,82.5
2025-04,Metro,52,227.7,10.1,51.0,80.77
2025-04,Northern,14,220.4,10.2,57.0,100.0
2025-04,Western,27,249.9,9.6,53.5,85.19
2025-05,Capital,49,248.8,9.4,52.1,87.76
2025-05,Central,15,214.6,9.9,52.8,93.33
2025-05,Hudson,37,239.2,11.9,51.6,78.38
2025-05,Long Island,33,244.5,10.2,54.0,90.91
2025-05,Metro,68,241.1,10.1,52.1,76.47
2025-05,Northern,8,233.0,10.0,53.0,100.0
2025-05,Western,25,235.7,9.4,52.7,88.0
2025-06,Capital,47,243.7,10.6,54.6,89.36
2025-06,Central,8,270.8,12.0,49.4,75.0
2025-06,Hudson,38,226.2,8.7,51.2,78.95
2025-06,Long Island,20,226.5,9.9,48.4,90.0
2025-06,Metro,65,253.2,10.2,51.4,83.08
2025-06,Northern,11,233.9,9.8,57.6,90.91
2025-06,Western,26,260.9,9.2,47.9,84.62
2025-07,Capital,55,247.0,10.3,53.0,81.82
2025-07,Central,12,235.2,9.4,55.6,83.33
2025-07,Hudson,37,250.7,10.4,54.3,72.97
2025-07,Long Island,31,235.8,11.6,54.8,90.32
2025-07,Metro,54,230.5,10.1,49.5,66.67
2025-07,Northern,12,248.6,9.5,50.4,83.33
2025-07,Western,28,235.8,10.3,51.1,71.43
2025-08,Capital,32,255.2,10.0,54.2,71.88
2025-08,Central,15,253.5,7.4,47.6,73.33
2025-08,Hudson,25,241.2,9.2,50.5,80.0
2025-08,Long Island,30,225.6,9.0,50.4,73.33
2025-08,Metro,49,245.8,9.7,53.8,77.55
2025-08,Northern,11,259.5,10.0,50.9,90.91
2025-08,Western,22,228.9,10.5,54.4,86.36
2025-09,Capital,32,235.1,9.6,51.2,78.12
2025-09,Central,13,269.9,10.4,59.2,53.85
2025-09,Hudson,29,250.8,9.7,50.8,96.55
2025-09,Long Island,30,238.4,8.3,49.2,86.67
2025-09,Metro,50,237.1,10.5,51.0,76.0
2025-09,Northern,13,231.0,10.2,54.1,84.62
2025-09,Western,31,238.8,9.8,54.0,90.32
2025-10,Capital,25,209.8,11.0,55.3,92.0
2025-10,Central,11,236.5,10.9,55.2,90.91
2025-10,Hudson,22,231.2,9.7,53.2,86.36
2025-10,Long Island,20,255.4,12.3,54.2,70.0
2025-10,Metro,53,247.7,10.6,48.5,86.79
2025-10,Northern,8,234.2,10.4,50.3,75.0
2025-10,Western,19,248.2,10.1,53.5,89.47
2025-11,Capital,34,247.0,11.4,51.8,85.29
2025-11,Central,7,222.9,11.4,48.0,100.0
2025-11,Hudson,31,229.0,8.6,51.0,74.19
2025-11,Long Island,22,232.0,8.5,51.4,86.36
2025-11,Metro,48,238.8,10.8,53.4,79.17
2025-11,Northern,8,239.5,10.1,51.3,87.5
2025-11,Western,17,229.8,11.8,53.6,58.82
2025-12,Capital,27,225.7,9.7,50.5,81.48
2025-12,Central,12,239.0,8.2,54.1,75.0
2025-12,Hudson,32,256.3,10.3,53.2,84.38
2025-12,Long Island,31,218.8,10.0,52.4,90.32
2025-12,Metro,57,256.2,10.9,51.2,75.44
2025-12,Northern,7,274.3,11.0,54.1,85.71
2025-12,Western,29,241.8,9.9,53.6,89.66
