month,total_cases,adult_cases,pediatric_cases,fatality_rate,icu_rate,ventilator_rate,avg_hospital_los_days,avg_ed_minutes,claim_count,total_paid_amount,donor_records,donor_opt_in_rate,data_quality_rows_affected
2024-01,202,169,33,5.45,26.73,13.37,6.21,245.7,254,3773398.18,66,68.18,0
2024-02,226,186,40,4.87,27.88,13.72,6.67,243.6,281,4264015.74,77,68.83,0
2024-03,245,207,38,8.16,26.94,10.2,6.1,247.1,308,4703665.5,68,69.12,0
2024-04,262,218,44,8.02,27.1,9.54,6.24,246.3,323,4473776.08,71,64.79,0
2024-05,208,169,39,4.81,25.0,8.17,6.41,250.1,262,3821502.46,64,75.0,0
2024-06,226,182,44,2.65,23.01,11.06,5.89,241.4,289,4076280.91,69,65.22,0
2024-07,206,160,46,7.28,28.64,14.56,6.6,247.9,258,3758650.04,70,67.14,0
2024-08,188,153,35,5.32,27.66,12.23,6.33,248.2,225,3455288.06,74,72.97,0
2024-09,184,160,24,1.63,30.98,13.59,6.34,238.2,238,3358587.48,97,68.04,0
2024-10,169,144,25,5.33,25.44,10.06,6.28,245.4,213,2970747.84,65,58.46,0
2024-11,177,138,39,4.52,23.16,9.6,5.98,243.3,217,2973092.3,66,68.18,0
2024-12,200,171,29,4.5,22.5,7.5,5.52,239.5,263,3550012.89,67,71.64,0
2025-01,216,175,41,4.17,23.61,10.19,6.22,243.0,277,3982488.65,74,74.32,0
2025-02,230,185,45,3.48,22.61,12.17,6.37,244.1,284,4101199.25,82,76.83,0
2025-03,246,200,46,7.72,27.64,11.38,6.48,241.3,311,4411834.38,75,69.33,0
2025-04,234,184,50,5.98,28.21,13.25,6.46,239.6,285,3997374.67,83,63.86,0
2025-05,235,192,43,6.38,22.55,10.64,6.21,240.4,291,4178728.1,76,69.74,0
2025-06,215,174,41,5.12,27.44,9.77,6.69,244.5,277,4098238.04,92,70.65,0
2025-07,229,186,43,6.11,28.38,9.61,6.1,240.3,297,4193165.79,79,58.23,0
2025-08,184,138,46,7.07,29.35,12.5,6.64,243.0,236,3353876.35,58,72.41,0
2025-09,198,175,23,4.55,25.25,8.59,6.05,241.0,259,3992026.21,67,74.63,0
2025-10,158,123,35,5.06,28.48,10.13,5.99,239.0,189,2498242.5,62,67.74,0
2025-11,167,139,28,4.19,25.75,8.98,6.01,236.2,211,2875216.77,65,75.38,0
2025-12,195,155,40,3.08,26.67,11.28,6.18,243.5,234,3650719.43,83,65.06,0
