month,hospital_id,total_cases,icu_cases,ventilator_cases,avg_icu_los_days,avg_ventilator_days,icu_rate,ventilator_rate
2024-01,H001,41,11,4,0.95,0.29,26.83,9.76
2024-01,H002,23,8,5,1.35,1.0,34.78,21.74
2024-01,H003,38,8,6,1.11,0.5,21.05,15.79
2024-01,H004,19,6,2,1.16,0.21,31.58,10.53
2024-01,H005,13,2,1,0.54,0.08,15.38,7.69
2024-01,H006,27,9,3,1.74,0.59,33.33,11.11
2024-01,H007,9,2,1,1.0,0.22,22.22,11.11
2024-01,H008,32,8,5,1.06,0.5,25.0,15.62
2024-02,H001,39,14,5,1.64,0.38,35.9,12.82
2024-02,H002,24,5,5,1.12,0.92,20.83,20.83
2024-02,H003,42,15,7,1.45,0.74,35.71,16.67
2024-02,H004,25,7,4,1.24,0.76,28.0,16.0
2024-02,H005,15,4,0,1.07,0.0,26.67,0.0
2024-02,H006,47,11,7,1.04,0.51,23.4,14.89
2024-02,H007,7,3,2,1.57,0.86,42.86,28.57
2024-02,H008,27,4,1,0.37,0.11,14.81,3.7
2024-03,H001,44,15,4,1.43,0.36,34.09,9.09
2024-03,H002,34,7,5,1.18,0.32,20.59,14.71
2024-03,H003,40,12,5,1.12,0.48,30.0,12.5
2024-03,H004,18,5,1,1.5,0.44,27.78,5.56
2024-03,H005,16,5,1,0.75,0.06,31.25,6.25
2024-03,H006,54,11,7,0.83,0.37,20.37,12.96
2024-03,H007,12,3,1,0.75,0.42,25.0,8.33
2024-03,H008,27,8,1,1.85,0.19,29.63,3.7
2024-04,H001,51,16,7,1.76,0.25,31.37,13.73
2024-04,H002,41,10,3,1.37,0.49,24.39,7.32
2024-04,H003,42,10,6,1.33,0.36,23.81,14.29
2024-04,H004,28,6,2,1.0,0.11,21.43,7.14
2024-04,H005,9,4,1,2.67,0.33,44.44,11.11
2024-04,H006,48,10,3,0.88,0.29,20.83,6.25
2024-04,H007,13,4,0,0.92,0.0,30.77,0.0
2024-04,H008,30,11,3,2.57,0.53,36.67,10.0
2024-05,H001,36,8,3,1.19,0.33,22.22,8.33
2024-05,H002,23,7,3,1.26,0.35,30.43,13.04
2024-05,H003,37,5,2,0.78,0.11,13.51,5.41
2024-05,H004,18,6,2,1.83,0.28,33.33,11.11
2024-05,H005,15,4,3,1.2,0.53,26.67,20.0
2024-05,H006,45,17,4,2.04,0.31,37.78,8.89
2024-05,H007,14,1,0,0.14,0.0,7.14,0.0
2024-05,H008,20,4,0,1.05,0.0,20.0,0.0
2024-06,H001,40,7,4,0.72,0.25,17.5,10.0
2024-06,H002,29,7,3,1.34,0.38,24.14,10.34
2024-06,H003,38,9,4,1.03,0.34,23.68,10.53
2024-06,H004,21,4,2,0.67,0.24,19.05,9.52
2024-06,H005,16,2,2,0.62,0.25,12.5,12.5
2024-06,H006,44,13,5,1.36,0.5,29.55,11.36
2024-06,H007,10,2,1,0.7,0.1,20.0,10.0
2024-06,H008,28,8,4,1.46,0.64,28.57,14.29
2024-07,H001,39,11,3,1.54,0.26,28.21,7.69
2024-07,H002,23,7,4,1.48,0.52,30.43,17.39
2024-07,H003,40,16,7,1.92,0.72,40.0,17.5
2024-07,H004,16,7,2,1.62,0.5,43.75,12.5
2024-07,H005,9,1,1,0.33,0.11,11.11,11.11
2024-07,H006,41,7,4,0.59,0.22,17.07,9.76
2024-07,H007,10,6,5,2.6,2.2,60.0,50.0
2024-07,H008,28,4,4,0.61,0.36,14.29,14.29
2024-08,H001,27,6,5,1.33,0.44,22.22,18.52
2024-08,H002,29,9,2,1.07,0.17,31.03,6.9
2024-08,H003,25,5,3,0.84,0.36,20.0,12.0
2024-08,H004,13,4,1,1.46,0.08,30.77,7.69
2024-08,H005,11,2,2,1.0,0.18,18.18,18.18
2024-08,H006,43,13,5,1.44,0.44,30.23,11.63
2024-08,H007,8,4,1,1.5,0.25,50.0,12.5
2024-08,H008,32,9,4,1.47,0.41,28.12,12.5
2024-09,H001,26,5,4,0.85,0.27,19.23,15.38
2024-09,H002,27,7,1,0.85,0.15,25.93,3.7
2024-09,H003,25,6,1,1.12,0.08,24.0,4.0
2024-09,H004,14,6,2,1.71,0.36,42.86,14.29
2024-09,H005,14,3,3,0.93,0.86,21.43,21.43
2024-09,H006,44,14,5,1.27,0.32,31.82,11.36
2024-09,H007,12,7,4,3.17,1.75,58.33,33.33
2024-09,H008,22,9,5,2.09,0.86,40.91,22.73
2024-10,H001,39,14,5,1.46,0.51,35.9,12.82
2024-10,H002,26,9,3,1.69,0.46,34.62,11.54
2024-10,H003,19,5,1,1.32,0.16,26.32,5.26
2024-10,H004,16,3,1,0.94,0.12,18.75,6.25
2024-10,H005,15,1,1,0.2,0.13,6.67,6.67
2024-10,H006,26,5,1,1.12,0.15,19.23,3.85
2024-10,H007,11,3,1,1.09,0.09,27.27,9.09
2024-10,H008,17,3,4,1.12,0.71,17.65,23.53
2024-11,H001,28,4,4,0.43,0.5,14.29,14.29
2024-11,H002,26,4,2,0.54,0.31,15.38,7.69
2024-11,H003,22,6,2,1.36,0.45,27.27,9.09
2024-11,H004,26,8,1,1.42,0.12,30.77,3.85
2024-11,H005,4,1,0,0.5,0.0,25.0,0.0
2024-11,H006,35,8,4,1.31,0.29,22.86,11.43
2024-11,H007,4,1,1,0.75,0.25,25.0,25.0
2024-11,H008,32,9,3,1.34,0.62,28.12,9.38
2024-12,H001,44,13,6,1.0,0.32,29.55,13.64
2024-12,H002,19,4,1,0.89,0.26,21.05,5.26
2024-12,H003,24,3,1,0.58,0.08,12.5,4.17
2024-12,H004,15,1,0,0.47,0.0,6.67,0.0
2024-12,H005,9,3,0,1.33,0.0,33.33,0.0
2024-12,H006,47,14,5,1.32,0.36,29.79,10.64
2024-12,H007,13,3,0,0.77,0.0,23.08,0.0
2024-12,H008,29,4,2,0.59,0.14,13.79,6.9
2025-01,H001,46,7,6,0.67,0.28,15.22,13.04
2025-01,H002,31,7,2,1.19,0.13,22.58,6.45
2025-01,H003,26,5,1,0.77,0.12,19.23,3.85
2025-01,H004,12,3,0,1.33,0.0,25.0,0.0
2025-01,H005,11,2,0,0.73,0.0,18.18,0.0
2025-01,H006,56,17,9,1.61,0.61,30.36,16.07
2025-01,H007,10,3,2,1.0,0.6,30.0,20.0
2025-01,H008,24,7,2,1.25,0.38,29.17,8.33
2025-02,H001,51,12,7,1.08,0.57,23.53,13.73
2025-02,H002,39,9,4,1.23,0.38,23.08,10.26
2025-02,H003,35,5,4,0.74,0.49,14.29,11.43
2025-02,H004,9,0,0,0.0,0.0,0.0,0.0
2025-02,H005,11,2,1,1.0,0.09,18.18,9.09
2025-02,H006,46,14,9,1.52,0.67,30.43,19.57
2025-02,H007,15,4,1,1.27,0.13,26.67,6.67
2025-02,H008,24,6,2,1.0,0.25,25.0,8.33
2025-03,H001,40,14,6,1.42,0.35,35.0,15.0
2025-03,H002,34,9,2,0.82,0.21,26.47,5.88
2025-03,H003,39,14,4,1.56,0.28,35.9,10.26
2025-03,H004,19,3,3,0.84,0.47,15.79,15.79
2025-03,H005,18,5,1,1.22,0.06,27.78,5.56
2025-03,H006,53,14,6,0.94,0.4,26.42,11.32
2025-03,H007,11,2,2,0.82,0.36,18.18,18.18
2025-03,H008,32,7,4,1.12,0.22,21.88,12.5
2025-04,H001,40,13,5,1.82,0.48,32.5,12.5
2025-04,H002,27,6,4,0.89,0.33,22.22,14.81
2025-04,H003,47,17,7,1.79,0.43,36.17,14.89
2025-04,H004,13,2,1,0.31,0.15,15.38,7.69
2025-04,H005,14,6,4,1.64,0.71,42.86,28.57
2025-04,H006,39,9,4,1.08,0.41,23.08,10.26
2025-04,H007,14,2,2,0.29,0.29,14.29,14.29
2025-04,H008,40,11,4,1.4,0.57,27.5,10.0
2025-05,H001,49,9,4,0.82,0.35,18.37,8.16
2025-05,H002,25,3,0,0.48,0.0,12.0,0.0
2025-05,H003,37,8,4,0.97,0.76,21.62,10.81
2025-05,H004,25,5,4,1.08,0.52,20.0,16.0
2025-05,H005,15,2,2,0.6,0.53,13.33,13.33
2025-05,H006,43,11,4,1.07,0.19,25.58,9.3
2025-05,H007,8,4,1,2.5,0.62,50.0,12.5
2025-05,H008,33,11,6,1.36,0.73,33.33,18.18
2025-06,H001,47,10,3,0.94,0.19,21.28,6.38
2025-06,H002,26,8,3,1.42,0.5,30.77,11.54
2025-06,H003,38,12,3,1.34,0.29,31.58,7.89
2025-06,H004,20,7,4,1.45,0.95,35.0,20.0
2025-06,H005,8,5,2,2.38,0.75,62.5,25.0
2025-06,H006,45,9,3,1.09,0.29,20.0,6.67
2025-06,H007,11,4,0,1.27,0.0,36.36,0.0
2025-06,H008,20,4,3,0.85,0.6,20.0,15.0
2025-07,H001,55,14,6,1.04,0.18,25.45,10.91
2025-07,H002,28,6,2,0.89,0.25,21.43,7.14
2025-07,H003,37,8,3,1.19,0.49,21.62,8.11
2025-07,H004,19,8,2,1.58,0.32,42.11,10.53
2025-07,H005,12,5,1,2.08,0.25,41.67,8.33
2025-07,H006,35,8,3,1.17,0.43,22.86,8.57
2025-07,H007,12,4,1,1.67,0.42,33.33,8.33
2025-07,H008,31,12,4,2.03,0.48,38.71,12.9
2025-08,H001,32,8,3,1.53,0.31,25.0,9.38
2025-08,H002,22,4,0,0.77,0.0,18.18,0.0
2025-08,H003,25,9,4,1.64,0.6,36.0,16.0
2025-08,H004,10,2,1,1.4,0.5,20.0,10.0
2025-08,H005,15,4,3,1.13,0.53,26.67,20.0
2025-08,H006,39,16,9,2.05,0.92,41.03,23.08
2025-08,H007,11,5,1,2.18,0.36,45.45,9.09
2025-08,H008,30,6,2,0.93,0.43,20.0,6.67
2025-09,H001,32,11,7,1.25,0.84,34.38,21.88
2025-09,H002,31,8,1,0.87,0.16,25.81,3.23
2025-09,H003,29,3,2,0.62,0.17,10.34,6.9
2025-09,H004,15,4,1,0.87,0.33,26.67,6.67
2025-09,H005,13,2,1,1.31,0.08,15.38,7.69
2025-09,H006,35,11,4,1.51,0.57,31.43,11.43
2025-09,H007,13,4,0,0.77,0.0,30.77,0.0
2025-09,H008,30,7,1,0.93,0.13,23.33,3.33
2025-10,H001,25,7,1,1.4,0.32,28.0,4.0
2025-10,H002,19,5,4,0.58,0.42,26.32,21.05
2025-10,H003,22,6,2,1.18,0.41,27.27,9.09
2025-10,H004,14,4,3,1.14,0.5,28.57,21.43
