month,region,opt_in,opt_out,unknown,total_records,opt_in_rate,opt_out_rate
2024-01,Capital,5.0,0.0,1.0,6.0,83.33,0.0
2024-01,Central,0.0,1.0,2.0,3.0,0.0,33.33
2024-01,Hudson,4.0,1.0,0.0,5.0,80.0,20.0
2024-01,Long Island,7.0,2.0,2.0,11.0,63.64,18.18
2024-01,Metro,18.0,5.0,5.0,28.0,64.29,17.86
2024-01,Northern,3.0,0.0,0.0,3.0,100.0,0.0
2024-01,Western,8.0,0.0,2.0,10.0,80.0,0.0
2024-02,Capital,3.0,2.0,0.0,5.0,60.0,40.0
2024-02,Central,3.0,0.0,0.0,3.0,100.0,0.0
2024-02,Hudson,5.0,1.0,2.0,8.0,62.5,12.5
2024-02,Long Island,16.0,5.0,1.0,22.0,72.73,22.73
2024-02,Metro,19.0,6.0,1.0,26.0,73.08,23.08
2024-02,Northern,5.0,2.0,0.0,7.0,71.43,28.57
2024-02,Western,2.0,4.0,0.0,6.0,33.33,66.67
2024-03,Capital,3.0,2.0,1.0,6.0,50.0,33.33
2024-03,Central,2.0,0.0,0.0,2.0,100.0,0.0
2024-03,Hudson,1.0,2.0,1.0,4.0,25.0,50.0
2024-03,Long Island,11.0,4.0,0.0,15.0,73.33,26.67
2024-03,Metro,22.0,5.0,2.0,29.0,75.86,17.24
2024-03,Northern,0.0,1.0,1.0,2.0,0.0,50.0
2024-03,Western,8.0,1.0,1.0,10.0,80.0,10.0
2024-04,Capital,4.0,1.0,0.0,5.0,80.0,20.0
2024-04,Central,3.0,0.0,1.0,4.0,75.0,0.0
2024-04,Hudson,8.0,5.0,0.0,13.0,61.54,38.46
2024-04,Long Island,15.0,4.0,2.0,21.0,71.43,19.05
2024-04,Metro,12.0,3.0,0.0,15.0,80.0,20.0
2024-04,Northern,1.0,2.0,0.0,3.0,33.33,66.67
2024-04,Western,3.0,6.0,1.0,10.0,30.0,60.0
2024-05,Capital,6.0,1.0,0.0,7.0,85.71,14.29
2024-05,Central,1.0,2.0,0.0,3.0,33.33,66.67
2024-05,Hudson,8.0,0.0,2.0,10.0,80.0,0.0
2024-05,Long Island,11.0,1.0,0.0,12.0,91.67,8.33
2024-05,Metro,12.0,5.0,2.0,19.0,63.16,26.32
2024-05,Northern,5.0,0.0,1.0,6.0,83.33,0.0
2024-05,Western,5.0,1.0,1.0,7.0,71.43,14.29
2024-06,Capital,5.0,1.0,0.0,6.0,83.33,16.67
2024-06,Central,1.0,0.0,1.0,2.0,50.0,0.0
2024-06,Hudson,11.0,1.0,1.0,13.0,84.62,7.69
2024-06,Long Island,8.0,4.0,3.0,15.0,53.33,26.67
2024-06,Metro,15.0,6.0,3.0,24.0,62.5,25.0
2024-06,Northern,1.0,0.0,0.0,1.0,100.0,0.0
2024-06,Western,4.0,4.0,0.0,8.0,50.0,50.0
2024-07,Capital,6.0,2.0,0.0,8.0,75.0,25.0
2024-07,Central,3.0,1.0,0.0,4.0,75.0,25.0
2024-07,Hudson,9.0,3.0,2.0,14.0,64.29,21.43
2024-07,Long Island,6.0,3.0,2.0,11.0,54.55,27.27
2024-07,Metro,18.0,3.0,4.0,25.0,72.0,12.0
2024-07,Northern,0.0,0.0,1.0,1.0,0.0,0.0
