hospital_id,hospital_name,region,trauma_level,month,total_cases,fatality_rate,icu_rate,ventilator_rate,avg_hospital_los_days,rolling_mean,rolling_std,z_score,pct_change,anomaly_flag,anomaly_reason
H001,North River Trauma Center,Capital,Level I,2024-01,41,4.88,26.83,9.76,5.8,41.0,0.0,0.0,0.0,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-02,39,0.0,35.9,12.82,6.85,39.0,0.0,0.0,-4.88,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-03,44,11.36,34.09,9.09,6.45,44.0,0.0,0.0,12.82,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-04,51,5.88,31.37,13.73,6.94,41.33,2.52,3.84,15.91,True,High volume versus rolling baseline
H001,North River Trauma Center,Capital,Level I,2024-05,36,5.56,22.22,8.33,5.06,43.75,5.25,-1.48,-29.41,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-06,40,0.0,17.5,10.0,5.38,42.2,5.72,-0.38,11.11,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-07,39,2.56,28.21,7.69,6.0,41.83,5.19,-0.55,-2.5,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-08,27,3.7,22.22,18.52,6.96,41.5,5.32,-2.73,-30.77,True,Low volume versus rolling baseline
H001,North River Trauma Center,Capital,Level I,2024-09,26,11.54,19.23,15.38,5.27,39.5,8.02,-1.68,-3.7,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-10,39,2.56,35.9,12.82,7.33,36.5,9.27,0.27,50.0,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-11,28,14.29,14.29,14.29,5.0,34.5,6.35,-1.02,-28.21,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2024-12,44,6.82,29.55,13.64,6.0,33.17,6.79,1.59,57.14,True,Large month-over-month increase
H001,North River Trauma Center,Capital,Level I,2025-01,46,2.17,15.22,13.04,6.2,33.83,7.73,1.57,4.55,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-02,51,3.92,23.53,13.73,5.57,35.0,9.08,1.76,10.87,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-03,40,7.5,35.0,15.0,7.48,39.0,10.08,0.1,-21.57,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-04,40,5.0,32.5,12.5,7.05,41.33,7.84,-0.17,0.0,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-05,49,4.08,18.37,8.16,5.9,41.5,7.79,0.96,22.5,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-06,47,12.77,21.28,6.38,6.72,45.0,4.56,0.44,-4.08,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-07,55,5.45,25.45,10.91,6.13,45.5,4.59,2.07,17.02,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-08,32,3.12,25.0,9.38,6.34,47.0,6.03,-2.49,-41.82,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-09,32,9.38,34.38,21.88,7.84,43.83,8.13,-1.45,0.0,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-10,25,0.0,28.0,4.0,4.8,42.5,9.44,-1.85,-21.88,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-11,34,0.0,29.41,5.88,5.74,40.0,11.9,-0.5,36.0,False,Within expected range
H001,North River Trauma Center,Capital,Level I,2025-12,27,7.41,18.52,14.81,6.04,37.5,11.18,-0.94,-20.59,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-01,23,4.35,34.78,21.74,6.39,23.0,0.0,0.0,0.0,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-02,24,8.33,20.83,20.83,6.54,24.0,0.0,0.0,4.35,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-03,34,2.94,20.59,14.71,6.79,34.0,0.0,0.0,41.67,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-04,41,17.07,24.39,7.32,6.22,27.0,6.08,2.3,20.59,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-05,23,8.7,30.43,13.04,6.57,30.5,8.58,-0.87,-43.9,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-06,29,3.45,24.14,10.34,6.21,29.0,8.15,0.0,26.09,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-07,23,4.35,30.43,17.39,7.35,29.0,7.29,-0.82,-20.69,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-08,29,10.34,31.03,6.9,5.83,29.0,7.29,0.0,26.09,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-09,27,0.0,25.93,3.7,5.3,29.83,6.88,-0.41,-6.9,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-10,26,7.69,34.62,11.54,6.19,28.67,6.62,-0.4,-3.7,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-11,26,7.69,15.38,7.69,5.08,26.17,2.71,-0.06,0.0,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2024-12,19,0.0,21.05,5.26,6.16,26.67,2.25,-3.41,-26.92,True,Low volume versus rolling baseline
H002,Lakeview Regional Medical,Western,Level II,2025-01,31,0.0,22.58,6.45,6.26,25.0,3.52,1.7,63.16,True,Large month-over-month increase
H002,Lakeview Regional Medical,Western,Level II,2025-02,39,10.26,23.08,10.26,7.05,26.33,4.08,3.1,25.81,True,High volume versus rolling baseline
H002,Lakeview Regional Medical,Western,Level II,2025-03,34,11.76,26.47,5.88,6.12,28.0,6.63,0.9,-12.82,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-04,27,11.11,22.22,14.81,6.59,29.17,7.03,-0.31,-20.59,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-05,25,8.0,12.0,0.0,4.8,29.33,6.95,-0.62,-7.41,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-06,26,3.85,30.77,11.54,8.58,29.17,7.05,-0.45,4.0,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-07,28,7.14,21.43,7.14,6.32,30.33,5.43,-0.43,7.69,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-08,22,4.55,18.18,0.0,5.91,29.83,5.49,-1.43,-21.43,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-09,31,3.23,25.81,3.23,5.61,27.0,4.0,1.0,40.91,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-10,19,5.26,26.32,21.05,5.68,26.5,3.02,-2.49,-38.71,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-11,17,0.0,11.76,0.0,4.41,25.17,4.26,-1.92,-10.53,False,Within expected range
H002,Lakeview Regional Medical,Western,Level II,2025-12,29,3.45,17.24,3.45,5.38,23.83,5.42,0.95,70.59,True,Large month-over-month increase
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-01,38,7.89,21.05,15.79,6.47,38.0,0.0,0.0,0.0,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-02,42,4.76,35.71,16.67,7.62,42.0,0.0,0.0,10.53,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-03,40,12.5,30.0,12.5,5.75,40.0,0.0,0.0,-4.76,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-04,42,9.52,23.81,14.29,6.38,40.0,2.0,1.0,5.0,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-05,37,2.7,13.51,5.41,5.78,40.5,1.91,-1.83,-11.9,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-06,38,0.0,23.68,10.53,6.03,39.8,2.28,-0.79,2.7,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-07,40,7.5,40.0,17.5,7.45,39.5,2.17,0.23,5.26,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-08,25,4.0,20.0,12.0,6.68,39.83,2.04,-7.27,-37.5,True,Low volume versus rolling baseline
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-09,25,0.0,24.0,4.0,5.96,37.0,6.13,-1.96,0.0,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-10,19,0.0,26.32,5.26,5.74,34.5,7.56,-2.05,-24.0,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-11,22,0.0,27.27,9.09,5.91,30.67,8.73,-0.99,15.79,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2024-12,24,4.17,12.5,4.17,4.58,28.17,8.7,-0.48,9.09,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-01,26,3.85,19.23,3.85,5.88,25.83,7.31,0.02,8.33,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-02,35,2.86,14.29,11.43,6.26,23.5,2.59,4.44,34.62,True,High volume versus rolling baseline
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-03,39,7.69,35.9,10.26,7.08,25.17,5.42,2.55,11.43,True,High volume versus rolling baseline
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-04,47,2.13,36.17,14.89,7.32,27.5,7.82,2.49,20.51,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-05,37,0.0,21.62,10.81,7.27,32.17,9.83,0.49,-21.28,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-06,38,2.63,31.58,7.89,5.84,34.67,8.55,0.39,2.7,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-07,37,2.7,21.62,8.11,5.51,37.0,6.78,0.0,-2.63,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-08,25,4.0,36.0,16.0,7.2,38.83,4.22,-3.28,-32.43,True,Low volume versus rolling baseline
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-09,29,0.0,10.34,6.9,4.79,37.17,7.05,-1.16,16.0,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-10,22,13.64,27.27,9.09,6.5,35.5,7.69,-1.76,-24.14,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-11,31,3.23,29.03,9.68,5.39,31.33,6.95,-0.05,40.91,False,Within expected range
H003,Hudson Valley Trauma Institute,Hudson,Level I,2025-12,32,3.12,25.0,6.25,5.94,30.33,6.38,0.26,3.23,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-01,19,0.0,31.58,10.53,7.26,19.0,0.0,0.0,0.0,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-02,25,8.0,28.0,16.0,6.28,25.0,0.0,0.0,31.58,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-03,18,5.56,27.78,5.56,6.5,18.0,0.0,0.0,-28.0,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-04,28,0.0,21.43,7.14,5.54,20.67,3.79,1.94,55.56,True,Large month-over-month increase
H004,Metro East Medical Center,Metro,Level II,2024-05,18,5.56,33.33,11.11,7.22,22.5,4.8,-0.94,-35.71,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-06,21,0.0,19.05,9.52,6.14,21.6,4.62,-0.13,16.67,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-07,16,6.25,43.75,12.5,7.44,21.5,4.14,-1.33,-23.81,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-08,13,7.69,30.77,7.69,6.69,21.0,4.65,-1.72,-18.75,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-09,14,0.0,42.86,14.29,8.64,19.0,5.14,-0.97,7.69,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-10,16,0.0,18.75,6.25,4.69,18.33,5.54,-0.42,14.29,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2024-11,26,0.0,30.77,3.85,5.35,16.33,2.88,3.36,62.5,True,High volume versus rolling baseline
H004,Metro East Medical Center,Metro,Level II,2024-12,15,13.33,6.67,0.0,4.67,17.67,4.93,-0.54,-42.31,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-01,12,25.0,25.0,0.0,6.67,16.67,4.72,-0.99,-20.0,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-02,9,0.0,0.0,0.0,5.67,16.0,5.1,-1.37,-25.0,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-03,19,0.0,15.79,15.79,5.37,15.33,5.79,0.63,111.11,True,Large month-over-month increase
H004,Metro East Medical Center,Metro,Level II,2025-04,13,15.38,15.38,7.69,4.77,16.17,5.91,-0.54,-31.58,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-05,25,12.0,20.0,16.0,5.88,15.67,6.06,1.54,92.31,True,Large month-over-month increase
H004,Metro East Medical Center,Metro,Level II,2025-06,20,5.0,35.0,20.0,6.95,15.5,5.72,0.79,-20.0,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-07,19,10.53,42.11,10.53,6.63,16.33,5.99,0.45,-5.0,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-08,10,0.0,20.0,10.0,8.1,17.5,5.65,-1.33,-47.37,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-09,15,6.67,26.67,6.67,6.27,17.67,5.35,-0.5,50.0,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-10,14,14.29,28.57,21.43,7.5,17.0,5.4,-0.56,-6.67,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-11,19,0.0,21.05,10.53,6.16,17.17,5.27,0.35,35.71,False,Within expected range
H004,Metro East Medical Center,Metro,Level II,2025-12,21,0.0,38.1,14.29,7.62,16.17,3.87,1.25,10.53,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-01,13,7.69,15.38,7.69,4.92,13.0,0.0,0.0,0.0,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-02,15,0.0,26.67,0.0,6.13,15.0,0.0,0.0,15.38,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-03,16,12.5,31.25,6.25,4.88,16.0,0.0,0.0,6.67,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-04,9,0.0,44.44,11.11,7.11,14.67,1.53,-3.71,-43.75,True,Low volume versus rolling baseline
H005,Central County Hospital,Central,Level III,2024-05,15,0.0,26.67,20.0,5.4,13.25,3.1,0.57,66.67,True,Large month-over-month increase
H005,Central County Hospital,Central,Level III,2024-06,16,6.25,12.5,12.5,4.94,13.6,2.79,0.86,6.67,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-07,9,11.11,11.11,11.11,4.22,14.0,2.68,-1.86,-43.75,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-08,11,0.0,18.18,18.18,5.09,13.33,3.39,-0.69,22.22,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-09,14,0.0,21.43,21.43,5.79,12.67,3.39,0.39,27.27,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-10,15,6.67,6.67,6.67,4.93,12.33,3.08,0.87,7.14,False,Within expected range
H005,Central County Hospital,Central,Level III,2024-11,4,0.0,25.0,0.0,7.5,13.33,2.73,-3.42,-73.33,True,Low volume versus rolling baseline
H005,Central County Hospital,Central,Level III,2024-12,9,0.0,33.33,0.0,4.78,11.5,4.51,-0.55,125.0,True,Large month-over-month increase
H005,Central County Hospital,Central,Level III,2025-01,11,9.09,18.18,0.0,5.45,10.33,3.98,0.17,22.22,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-02,11,0.0,18.18,9.09,4.64,10.67,3.93,0.08,0.0,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-03,18,5.56,27.78,5.56,6.94,10.67,3.93,1.86,63.64,True,Large month-over-month increase
H005,Central County Hospital,Central,Level III,2025-04,14,14.29,42.86,28.57,6.86,11.33,4.84,0.55,-22.22,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-05,15,13.33,13.33,13.33,5.47,11.17,4.71,0.81,7.14,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-06,8,0.0,62.5,25.0,8.38,13.0,3.29,-1.52,-46.67,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-07,12,0.0,41.67,8.33,7.17,12.83,3.54,-0.24,50.0,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-08,15,20.0,26.67,20.0,7.73,13.0,3.46,0.58,25.0,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-09,13,0.0,15.38,7.69,6.23,13.67,3.39,-0.2,-13.33,False,Within expected range
H005,Central County Hospital,Central,Level III,2025-10,11,0.0,36.36,0.0,7.0,12.83,2.64,-0.69,-15.38,False,Within expected range
